T(10,3).txt 20 0.4628586769104004
T(11,2).txt 11 0.008992195129394531
T(11,3).txt 22 1.2488481998443604
T(11,4).txt 33 53.86541771888733
T(13,2).txt 13 0.021965742111206055
T(13,3).txt 26 2.981577157974243
T(14,3).txt 28 7.870065689086914
T(15,2).txt 15 0.038953542709350586
T(16,3).txt 32 12.39952039718628
T(17,2).txt 17 0.020647764205932617
T(17,3).txt 34 38.26492190361023
T(19,2).txt 19 0.025478363037109375
T(21,2).txt 21 0.03089284896850586
T(23,2).txt 23 0.03689217567443848
T(25,2).txt 25 0.04323863983154297
T(27,2).txt 27 0.050327301025390625
T(29,2).txt 29 0.057903289794921875
T(3,2).txt 3 0.0008137226104736328
T(31,2).txt 31 0.06606388092041016
T(33,2).txt 33 0.07448935508728027
T(35,2).txt 35 0.08879780769348145
T(4,3).txt 8 0.007274627685546875
T(5,2).txt 5 0.0020782947540283203
T(5,3).txt 10 0.01841902732849121
T(5,4).txt 15 0.15102291107177734
T(6,5).txt 24 3.0837583541870117
T(7,2).txt 7 0.003912210464477539
T(7,3).txt 14 0.06200289726257324
T(7,4).txt 21 0.8033373355865479
T(7,5).txt 28 31.961464643478394
T(7,6).txt 35 309.23472809791565
T(8,3).txt 16 0.1385946273803711
T(8,5).txt 32 159.43329977989197
T(9,2).txt 9 0.006295919418334961
T(9,4).txt 27 18.050787210464478
T(9,5).txt 36 326.49864053726196
