T(11,2).txt 11 0.008992195129394531
T(13,2).txt 13 0.021965742111206055
T(15,2).txt 15 0.038953542709350586
T(17,2).txt 17 0.020647764205932617
T(19,2).txt 19 0.025478363037109375
T(21,2).txt 21 0.03089284896850586
T(23,2).txt 23 0.03689217567443848
T(25,2).txt 25 0.04323863983154297
T(27,2).txt 27 0.050327301025390625
T(29,2).txt 29 0.057903289794921875
T(3,2).txt 3 0.0008137226104736328
T(31,2).txt 31 0.06606388092041016
T(33,2).txt 33 0.07448935508728027
T(35,2).txt 35 0.08879780769348145
T(5,2).txt 5 0.0020782947540283203
T(7,2).txt 7 0.003912210464477539
T(9,2).txt 9 0.006295919418334961
