T(11,2).txt 11 0.009093284606933594
T(13,2).txt 13 0.012437105178833008
T(15,2).txt 15 0.01627635955810547
T(17,2).txt 17 0.02061772346496582
T(19,2).txt 19 0.025573253631591797
T(21,2).txt 21 0.030944108963012695
T(23,2).txt 23 0.03682112693786621
T(25,2).txt 25 0.04794931411743164
T(27,2).txt 27 0.05044126510620117
T(29,2).txt 29 0.05819869041442871
T(3,2).txt 3 0.00080108642578125
T(31,2).txt 31 0.06667613983154297
T(33,2).txt 33 0.07477593421936035
T(35,2).txt 35 0.08405017852783203
T(5,2).txt 5 0.0023038387298583984
T(7,2).txt 7 0.0038852691650390625
T(9,2).txt 9 0.006259441375732422
