T(11,2).txt 11 0.009307384490966797
T(13,2).txt 13 0.012794971466064453
T(15,2).txt 15 0.01689934730529785
T(17,2).txt 17 0.021364212036132812
T(19,2).txt 19 0.02638721466064453
T(21,2).txt 21 0.03641080856323242
T(23,2).txt 23 0.038030147552490234
T(25,2).txt 25 0.04486680030822754
T(27,2).txt 27 0.05250048637390137
T(29,2).txt 29 0.06139636039733887
T(3,2).txt 3 0.0008981227874755859
T(31,2).txt 31 0.07051753997802734
T(33,2).txt 33 0.07726097106933594
T(35,2).txt 35 0.08637428283691406
T(5,2).txt 5 0.002113819122314453
T(7,2).txt 7 0.0039899349212646484
T(9,2).txt 9 0.006415605545043945
