T(10,3).txt 20 1.4948821067810059
T(11,3).txt 22 1.4553916454315186
T(11,4).txt 33 177.15353417396545
T(13,3).txt 26 18.063658237457275
T(14,3).txt 28 11.30662751197815
T(16,3).txt 32 228.67313933372498
T(17,3).txt 34 99.48609519004822
T(4,3).txt 8 0.007623434066772461
T(5,3).txt 10 0.015933752059936523
T(5,4).txt 15 0.7954473495483398
T(6,5).txt 24 39.78292441368103
T(7,3).txt 14 0.12568187713623047
T(7,4).txt 21 1.7604646682739258
T(7,5).txt 28 105.80645513534546
T(7,6).txt 35 25418.01217532158
T(8,3).txt 16 0.11795878410339355
T(8,5).txt 32 737.2076389789581
T(9,4).txt 27 88.24995517730713
T(9,5).txt 36 1336.0532701015472
