T(11,2).txt 11 0.021259069442749023
T(13,2).txt 13 0.02501845359802246
T(15,2).txt 15 0.03006601333618164
T(17,2).txt 17 0.03174424171447754
T(19,2).txt 19 0.03375124931335449
T(21,2).txt 21 0.04009437561035156
T(23,2).txt 23 0.03900337219238281
T(25,2).txt 25 0.04443979263305664
T(27,2).txt 27 0.049248695373535156
T(29,2).txt 29 0.056733131408691406
T(3,2).txt 3 0.0008027553558349609
T(31,2).txt 31 0.06482934951782227
T(33,2).txt 33 0.07315611839294434
T(35,2).txt 35 0.08936524391174316
T(5,2).txt 5 0.0020515918731689453
T(7,2).txt 7 0.0038003921508789062
T(9,2).txt 9 0.006098031997680664
