T(10,3).txt 20 0.4705381393432617
T(11,3).txt 22 1.095991611480713
T(11,4).txt 33 92.3460202217102
T(13,3).txt 26 4.766131401062012
T(14,3).txt 28 6.111550569534302
T(16,3).txt 32 30.662282943725586
T(17,3).txt 34 49.72557020187378
T(4,3).txt 8 0.006838798522949219
T(5,3).txt 10 0.01924276351928711
T(5,4).txt 15 0.20559239387512207
T(6,5).txt 24 2.1817524433135986
T(7,3).txt 14 0.1240544319152832
T(7,4).txt 21 1.2633390426635742
T(7,5).txt 28 66.98440551757812
T(7,6).txt 35 1520.759286403656
T(8,3).txt 16 0.18505430221557617
T(8,5).txt 32 238.53934335708618
T(9,4).txt 27 23.40327024459839
T(9,5).txt 36 1361.5987145900726
