T(10,3).txt 20 0.4628586769104004
T(11,3).txt 22 1.2488481998443604
T(11,4).txt 33 53.86541771888733
T(13,3).txt 26 2.981577157974243
T(14,3).txt 28 7.870065689086914
T(16,3).txt 32 12.39952039718628
T(17,3).txt 34 38.26492190361023
T(4,3).txt 8 0.007274627685546875
T(5,3).txt 10 0.01841902732849121
T(5,4).txt 15 0.15102291107177734
T(6,5).txt 24 3.0837583541870117
T(7,3).txt 14 0.06200289726257324
T(7,4).txt 21 0.8033373355865479
T(7,5).txt 28 31.961464643478394
T(7,6).txt 35 309.23472809791565
T(8,3).txt 16 0.1385946273803711
T(8,5).txt 32 159.43329977989197
T(9,4).txt 27 18.050787210464478
T(9,5).txt 36 326.49864053726196
